observation_date,XTEXVA01BRQ188S
2013-07-01,9.78514484891752
2013-10-01,9.77405391758922
2014-01-01,9.39014581987862
2014-04-01,8.99504858124886
2014-07-01,8.74558712073536
2014-10-01,8.83148547945493
2015-01-01,9.19402543589612
2015-04-01,9.89748721054787
2015-07-01,10.69611896048310
2015-10-01,11.52076330773460
2016-01-01,11.20563954963200
2016-04-01,10.28081437275210
2016-07-01,9.18330566089472
2016-10-01,9.18452237867388
2017-01-01,10.83099451330260
2017-04-01,10.54200114190530
2017-07-01,10.08260326097580
2017-10-01,10.38727920166670
2018-01-01,11.15462220232120
2018-04-01,11.52225388078510
2018-07-01,12.78745326588720
2018-10-01,13.00399218415000
2019-01-01,11.79904466845200
2019-04-01,11.67910378371030
2019-07-01,11.59231693463310
2019-10-01,12.30046251926580
2020-01-01,12.34392027519800
2020-04-01,15.18325008307640
2020-07-01,14.50766313216880
2020-10-01,14.52121101428340
2021-01-01,15.39856398127340
2021-04-01,18.10135114273460
2021-07-01,16.61208966358890
2021-10-01,16.58411986177390
2022-01-01,17.91259379875560
2022-04-01,16.71799797086550
2022-07-01,17.03573707593630
2022-10-01,16.83997213739380
2023-01-01,16.44793618733890
2023-04-01,15.32366613177080
2023-07-01,14.96525007930980
